,Community,global_rank,local_rank,MAC_address
507,122,523,336,02:00:00:05:00:07
508,122,173,390,02:00:00:05:00:08
509,461,45,7,02:00:00:05:00:09
510,421,111,25,02:00:00:05:01:00
511,122,501,337,02:00:00:05:01:01
512,122,471,338,02:00:00:05:01:02
513,122,394,339,02:00:00:05:01:03
514,122,309,340,02:00:00:05:01:04
515,122,120,391,02:00:00:05:01:05
516,122,523,341,02:00:00:05:01:06
517,122,106,342,02:00:00:05:01:07
518,122,417,343,02:00:00:05:01:08
519,122,146,344,02:00:00:05:01:09
520,122,230,345,02:00:00:05:02:00
521,122,63,392,02:00:00:05:02:01
522,122,385,346,02:00:00:05:02:02
523,221,403,11,02:00:00:05:02:03
524,281,90,11,02:00:00:05:02:04
525,122,309,347,02:00:00:05:02:05
526,122,487,348,02:00:00:05:02:06
527,122,355,349,02:00:00:05:02:07
528,122,261,350,02:00:00:05:02:08
529,468,329,14,02:00:00:05:02:09
530,122,338,351,02:00:00:05:03:00
531,122,394,352,02:00:00:05:03:01
532,122,188,353,02:00:00:05:03:02
533,122,523,354,02:00:00:05:03:03
534,421,31,26,02:00:00:05:03:04
